RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,SatisfactionScore,CardType,PointEarned
8181,15643378,Muir,744,France,Male,42,1,112419.92,1,1,1,83022.92,0,0,3,SILVER,367
1547,15727944,Simpkinson,701,Germany,Female,48,1,92072.68,1,1,1,133992.36,0,0,3,SILVER,340
8241,15708504,Wong,790,Germany,Male,50,8,121438.58,1,1,1,176471.78,1,1,4,GOLD,352
4154,15664001,Riddle,695,Germany,Female,53,8,95231.91,1,0,0,70140.8,1,1,4,SILVER,402
1737,15663489,Onio,633,Germany,Female,29,0,138577.34,1,1,0,193362.99,0,0,1,DIAMOND,503
3468,15771509,Hirst,538,Germany,Female,42,1,98548.62,2,0,1,94047.75,0,0,5,DIAMOND,929
3587,15652626,Grave,826,France,Male,55,4,115285.85,1,1,0,140126.17,0,0,2,GOLD,712
7920,15634564,Aksyonov,593,Spain,Male,31,8,112713.34,1,1,1,176868.89,0,0,2,GOLD,710
9305,15783589,Toscano,616,France,Male,40,9,0.0,2,0,0,93717.55,0,0,1,SILVER,752
5098,15568238,Diaz,650,Spain,Male,20,8,0.0,2,1,1,113469.65,0,0,4,PLATINUM,776
7148,15712877,Morley,724,Spain,Male,36,1,0.0,2,1,0,52462.25,0,0,3,GOLD,660
4287,15694404,Eberegbulam,781,France,Female,42,3,156555.54,1,1,1,175674.01,0,0,3,DIAMOND,977
5467,15611848,Kwemtochukwu,850,Germany,Male,32,3,137714.25,1,0,1,159403.68,0,0,2,DIAMOND,814
2663,15742272,Ozerova,669,France,Female,44,8,96418.09,1,0,0,131609.48,1,1,3,SILVER,915
425,15566111,Estes,596,France,Male,39,9,0.0,1,1,0,48963.59,0,0,3,PLATINUM,390
4579,15801821,Cookson,691,France,Male,38,1,0.0,2,0,0,44653.5,0,0,1,GOLD,885
8225,15804937,Cambage,702,France,Male,50,3,0.0,2,0,0,94949.84,0,0,4,GOLD,726
5776,15717527,Ifeanacho,619,France,Female,49,9,145359.99,1,1,0,38186.85,0,0,4,DIAMOND,468
737,15794278,Romani,816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0,0,5,GOLD,459
7378,15592999,Reid,691,France,Female,40,0,115465.98,1,1,1,60622.61,0,0,4,PLATINUM,823
4787,15749799,Pisani,577,France,Female,34,2,0.0,2,1,1,84033.35,0,0,5,PLATINUM,309
6540,15749328,Johnson,697,France,Female,45,1,0.0,2,1,0,46807.62,1,1,3,PLATINUM,559
3403,15715745,Elliott,690,France,Female,26,5,157624.84,1,1,1,49599.27,0,0,5,DIAMOND,881
1251,15702789,Carter,548,Germany,Male,32,5,175214.71,1,1,1,155165.61,0,0,5,DIAMOND,574
6333,15793046,Holden,619,France,Female,35,4,90413.12,1,1,1,20555.21,0,0,3,DIAMOND,389
9429,15752984,Chifley,737,France,Female,70,9,87542.89,2,1,1,42576.86,0,0,4,DIAMOND,631
3109,15724536,Chin,560,Spain,Female,28,1,0.0,2,1,1,120880.72,0,0,3,SILVER,451
8249,15778049,Wyatt,633,Germany,Male,29,6,117412.35,1,0,0,30338.94,0,0,4,SILVER,341
1391,15727281,Macintyre,653,France,Female,27,9,0.0,2,1,0,96429.29,0,0,3,GOLD,834
8504,15794101,Barese,559,France,Female,48,2,0.0,2,0,1,137961.41,0,0,3,GOLD,640
8680,15753092,He,791,Germany,Male,35,5,129828.58,1,1,1,181918.26,1,1,4,DIAMOND,249
2732,15712584,Liao,670,France,Female,33,7,0.0,2,1,1,88187.81,0,0,2,DIAMOND,241
9943,15683007,Torode,739,Germany,Female,25,5,113113.12,1,1,0,129181.27,0,0,5,DIAMOND,796
3417,15565806,Toosey,532,France,Male,38,9,0.0,2,0,0,30583.95,0,0,2,PLATINUM,396
4320,15759456,Lupton,609,Spain,Male,34,7,140694.78,2,1,0,46266.63,0,0,3,DIAMOND,726
3307,15633854,Sun,654,France,Female,40,3,0.0,2,1,0,167889.1,0,0,4,DIAMOND,428
5381,15768219,Sung,850,Spain,Male,36,0,0.0,2,1,0,141242.57,0,0,3,SILVER,863
4373,15730137,Udegbulam,628,France,Male,31,0,88421.81,1,0,0,72350.47,0,0,2,SILVER,800
4937,15792986,T'ao,580,Germany,Male,24,1,133811.78,1,1,0,17185.95,1,1,2,DIAMOND,500
5895,15648067,Onwuamaeze,583,France,Male,39,1,129299.28,2,1,0,73107.6,0,0,1,DIAMOND,378
8990,15687558,Mault,640,Germany,Female,31,10,118613.34,1,1,0,168469.65,0,0,3,DIAMOND,573
4014,15653776,Salier,720,Germany,Female,57,1,162082.31,4,0,0,27145.73,1,1,5,SILVER,692
9820,15813946,Duffy,637,Germany,Male,51,1,104682.83,1,1,0,55266.96,1,1,3,GOLD,302
4279,15577751,Pisano,759,Germany,Male,30,4,101802.67,1,0,0,8693.8,0,0,3,GOLD,790
768,15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1,1,1,PLATINUM,274
1758,15704763,Kozlova,523,Germany,Female,39,1,143903.11,1,1,1,118711.75,1,1,1,SILVER,732
4087,15764294,Ifeatu,759,Germany,Male,31,4,98899.91,1,1,1,47832.82,0,0,1,DIAMOND,352
2420,15722765,Owen,580,Spain,Female,57,0,136820.99,1,0,1,108528.74,0,0,5,GOLD,419
8210,15600912,Gorshkov,706,Germany,Male,32,5,88348.43,2,1,1,104181.78,0,0,2,SILVER,641
8278,15765283,Wenz,624,Germany,Female,40,3,149961.99,2,1,0,104610.86,0,0,2,PLATINUM,576
8462,15758769,Coffey,625,France,Female,44,7,0.0,1,1,0,4791.8,0,0,3,SILVER,801
6403,15804211,Oluchukwu,719,France,Male,36,3,155423.17,1,1,1,199841.32,0,0,2,SILVER,374
8306,15605698,Harrison,746,France,Male,58,3,0.0,3,1,1,80344.96,1,1,3,SILVER,488
1984,15587913,Palerma,748,Spain,Female,40,4,0.0,2,1,0,132368.47,0,0,3,DIAMOND,770
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659
265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,0,4,PLATINUM,467
9039,15657349,Carter,803,Germany,Female,50,8,98173.02,1,0,0,22457.25,1,1,5,PLATINUM,642
4602,15571666,Shaw,642,Germany,Male,30,8,134497.27,1,0,0,43250.54,0,0,3,GOLD,999
8630,15577598,Chiang,651,Spain,Male,23,4,115636.05,2,1,0,70400.86,0,0,5,PLATINUM,710
9156,15680666,Berry,579,Spain,Female,39,2,151963.26,2,1,0,158948.63,0,0,1,PLATINUM,393
8298,15664681,Aitken,584,France,Female,35,2,114321.28,2,0,0,15959.01,0,0,3,DIAMOND,855
4206,15670103,Dickinson,565,France,Female,38,5,126645.13,1,1,1,168303.55,0,0,1,DIAMOND,366
6417,15789379,Zetticci,762,France,Male,26,6,130428.78,1,1,0,173365.89,0,0,4,GOLD,858
2220,15610056,Dufresne,631,Germany,Female,34,6,125227.82,2,0,1,128247.03,0,0,2,PLATINUM,305
1982,15630913,Rosas,476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0,0,5,DIAMOND,563
5330,15592230,Seleznyov,620,France,Male,41,3,0.0,2,1,1,137309.06,0,0,2,PLATINUM,725
7570,15642448,Onyemauchechukwu,656,Spain,Male,28,8,120047.77,1,1,1,137173.39,0,0,1,PLATINUM,590
6646,15648989,Moss,850,France,Male,37,4,126872.6,1,1,0,197266.58,0,0,1,DIAMOND,951
1596,15711378,Willis,677,France,Male,38,4,0.0,2,1,0,187800.63,0,0,4,GOLD,664
8404,15707219,Hopman,844,France,Female,28,4,0.0,2,0,1,123318.37,0,0,4,PLATINUM,302
5132,15707479,Fan,664,France,Male,40,7,125608.72,1,1,0,122073.48,0,0,2,PLATINUM,458
4235,15567335,Allsop,559,France,Female,42,7,0.0,2,1,1,190040.29,0,0,3,DIAMOND,822
6327,15788494,Alekseeva,555,France,Male,31,8,145875.74,1,1,0,137491.23,0,0,3,GOLD,239
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,1,3,GOLD,629
1319,15665077,Vogel,598,France,Female,43,5,0.0,3,1,1,100722.72,1,1,1,SILVER,858
5838,15657603,Finch,850,France,Female,35,6,81684.97,1,1,0,824.0,0,0,5,SILVER,576
1049,15645103,Su,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0,0,3,PLATINUM,985
5389,15669664,Thompson,574,Germany,Male,54,1,99774.5,1,0,0,4896.11,1,1,5,SILVER,222
3429,15570360,Wan,641,France,Female,35,4,0.0,2,0,0,125986.18,0,0,4,PLATINUM,757
